case,activity,time,duration,resource
1,a,13:56,0.37,R1
1,d,14:19,0.19,R2
1,b,15:33,1.22,R2
2,a,10:27,0.25,R1
2,c,10:42,0.56,R1
2,b,11:58,1.25,R2
3,a,09:03,0.18,R1
3,c,09:14,0.62,R1
3,b,10:14,0.99,R2
4,a,09:59,0.05,R1
4,c,10:02,0.62,R2
4,b,11:19,1.27,R2
5,a,10:05,0.19,R1
5,c,10:17,0.55,R1
5,b,11:11,0.89,R2
6,a,09:10,0.07,R1
6,c,09:14,0.75,R2
6,b,09:57,0.71,R2
7,a,13:56,0.37,R1
7,d,14:18,0.17,R2
7,b,15:27,1.13,R2
8,a,13:57,0.04,R1
8,d,14:00,0.21,R2
8,b,14:48,0.81,R2
9,a,14:02,0.05,R1
9,d,14:05,0.04,R2
9,b,14:57,0.85,R2
10,a,15:35,0.28,R1
10,d,15:52,0.11,R2
10,b,16:52,1.0,R2
11,a,09:18,0.19,R1
11,c,09:29,0.59,R1
11,b,10:47,1.28,R2
12,a,14:01,0.09,R1
12,d,14:06,0.32,R1
12,b,14:40,0.56,R2
13,a,14:01,0.17,R1
13,d,14:11,0.03,R2
13,b,15:11,0.98,R2
14,a,14:04,0.37,R1
14,d,14:26,0.18,R2
14,b,15:04,0.63,R2
15,a,14:11,0.11,R1
15,d,14:18,0.3,R2
15,b,15:25,1.11,R2
16,a,09:00,0.35,R1
16,c,09:21,0.77,R1
16,b,10:33,1.19,R2
17,a,08:40,0.39,R1
17,c,09:04,0.63,R1
17,b,10:12,1.12,R2
18,a,13:42,0.38,R1
18,d,14:05,0.14,R2
18,b,15:21,1.25,R2
19,a,14:05,0.26,R1
19,d,14:20,0.32,R2
19,b,15:40,1.32,R2
20,a,09:05,0.23,R1
20,c,09:19,0.58,R1
20,b,10:28,1.15,R2
21,a,08:58,0.35,R1
21,c,09:19,0.79,R1
21,b,10:44,1.4,R2
22,a,14:31,0.2,R1
22,d,14:43,0.28,R2
22,b,16:02,1.31,R2
23,a,14:47,0.49,R1
23,d,15:17,0.32,R1
23,b,15:53,0.58,R2
24,a,09:24,0.43,R1
24,c,09:50,0.72,R2
24,b,11:02,1.18,R2
25,a,08:56,0.23,R1
25,c,09:10,0.64,R1
25,b,09:53,0.71,R2
26,a,09:01,0.13,R1
26,c,09:09,0.82,R1
26,b,09:47,0.63,R2
27,a,09:26,0.44,R1
27,c,09:53,0.79,R1
27,b,10:30,0.6,R2
28,a,14:25,0.18,R1
28,d,14:36,0.06,R2
28,b,15:53,1.28,R2
29,a,14:23,0.43,R1
29,d,14:49,0.1,R2
29,b,15:52,1.03,R2
30,a,13:34,0.45,R1
30,d,14:01,0.18,R2
30,b,15:06,1.08,R2
31,a,13:56,0.26,R1
31,d,14:12,0.18,R2
31,b,14:51,0.64,R2
32,a,14:10,0.46,R1
32,d,14:38,0.21,R2
32,b,15:26,0.78,R2
33,a,13:36,0.49,R1
33,d,14:06,0.3,R2
33,b,15:25,1.32,R2
34,a,14:42,0.04,R1
34,d,14:44,0.02,R2
34,b,16:02,1.3,R2
35,a,14:34,0.26,R1
35,d,14:50,0.18,R2
35,b,15:40,0.84,R2
36,a,09:40,0.09,R1
36,c,09:46,0.67,R1
36,b,10:26,0.67,R2
37,a,10:35,0.03,R1
37,c,10:37,0.6,R1
37,b,11:34,0.94,R2
38,a,14:24,0.12,R1
38,d,14:31,0.18,R2
38,b,15:49,1.29,R2
39,a,08:57,0.25,R1
39,c,09:12,0.68,R1
39,b,10:29,1.27,R2
40,a,08:59,0.16,R1
40,c,09:09,0.74,R1
40,b,10:25,1.25,R2
41,a,14:35,0.47,R1
41,d,15:04,0.04,R2
41,b,15:53,0.81,R2
