case,activity,time,duration,resource
1,a,12:17,0.19,R1
1,d,12:28,0.8,R2
1,b,13:17,0.24,R2
2,a,09:02,0.13,R1
2,c,09:10,0.74,R1
2,b,09:55,0.11,R2
3,a,09:11,0.35,R1
3,c,09:32,0.76,R1
3,b,10:18,0.12,R2
4,a,08:51,0.32,R1
4,c,09:11,0.83,R1
4,b,10:01,0.2,R2
5,a,08:39,0.44,R1
5,c,09:06,0.59,R1
5,b,09:41,0.42,R2
6,a,10:12,0.36,R1
6,c,10:34,0.72,R1
6,b,11:17,0.11,R2
7,a,12:02,0.36,R1
7,d,12:24,0.65,R2
7,b,13:03,0.26,R2
8,a,12:21,0.32,R1
8,d,12:41,0.88,R1
8,b,13:34,0.15,R2
9,a,11:47,0.34,R1
9,d,12:08,0.81,R2
9,b,12:57,0.19,R2
10,a,11:53,0.26,R1
10,d,12:09,0.73,R2
10,b,12:54,0.27,R2
11,a,09:02,0.38,R1
11,c,09:25,0.9,R1
11,b,10:20,0.38,R2
12,a,12:30,0.02,R1
12,d,12:31,0.9,R2
12,b,13:26,0.29,R2
13,a,12:16,0.26,R1
13,d,12:32,0.69,R2
13,b,13:13,0.05,R2
14,a,12:47,0.11,R1
14,d,12:54,0.88,R2
14,b,13:47,0.38,R2
15,a,11:52,0.17,R1
15,d,12:02,0.97,R2
15,b,13:01,0.43,R2
16,a,09:32,0.21,R1
16,c,09:44,0.6,R1
16,b,10:20,0.34,R2
17,a,09:05,0.13,R1
17,c,09:13,0.84,R1
17,b,10:04,0.07,R2
18,a,12:32,0.35,R1
18,d,12:53,0.5,R1
18,b,13:24,0.36,R2
19,a,12:16,0.15,R1
19,d,12:25,0.64,R2
19,b,13:04,0.24,R2
20,a,09:09,0.03,R1
20,c,09:11,0.81,R1
20,b,10:00,0.21,R2
21,a,10:22,0.02,R1
21,c,10:24,0.7,R1
21,b,11:06,0.34,R2
22,a,12:33,0.03,R1
22,d,12:35,0.97,R1
22,b,13:33,0.24,R2
23,a,12:10,0.25,R1
23,d,12:26,0.77,R2
23,b,13:12,0.43,R2
24,a,08:53,0.26,R1
24,c,09:08,0.94,R1
24,b,10:05,0.21,R2
25,a,10:02,0.19,R1
25,c,10:13,0.8,R1
25,b,11:02,0.09,R2
26,a,09:17,0.44,R1
26,c,09:43,0.5,R1
26,b,10:14,0.11,R2
27,a,09:35,0.17,R1
27,c,09:45,0.63,R1
27,b,10:23,0.44,R2
28,a,11:40,0.44,R1
28,d,12:07,0.54,R2
28,b,12:39,0.11,R2
29,a,12:19,0.13,R1
29,d,12:27,0.9,R2
29,b,13:21,0.21,R2
30,a,12:27,0.19,R1
30,d,12:39,0.94,R2
30,b,13:36,0.02,R2
31,a,11:54,0.31,R1
31,d,12:13,0.87,R2
31,b,13:05,0.4,R2
32,a,11:52,0.29,R1
32,d,12:09,0.58,R2
32,b,12:44,0.04,R2
33,a,12:01,0.06,R1
33,d,12:05,0.73,R2
33,b,12:49,0.22,R2
34,a,13:55,0.24,R1
34,d,14:10,0.99,R2
34,b,15:10,0.06,R2
35,a,12:15,0.25,R1
35,d,12:30,0.75,R2
35,b,13:16,0.31,R2
36,a,08:37,0.38,R1
36,c,09:00,0.67,R1
36,b,09:40,0.04,R2
37,a,09:33,0.3,R1
37,c,09:52,0.6,R1
37,b,10:28,0.4,R2
38,a,12:14,0.08,R1
38,d,12:18,0.91,R2
38,b,13:13,0.35,R2
39,a,09:23,0.36,R1
39,c,09:44,0.59,R1
39,b,10:20,0.32,R2
40,a,09:00,0.23,R1
40,c,09:14,0.58,R1
40,b,09:49,0.07,R2
41,a,13:36,0.46,R1
41,d,14:03,0.93,R1
41,b,15:00,0.37,R2
42,a,12:19,0.09,R1
42,d,12:25,0.88,R2
42,b,13:18,0.43,R2
43,a,12:09,0.24,R1
43,d,12:23,0.56,R2
43,b,12:57,0.28,R2
44,a,11:58,0.11,R1
44,d,12:05,0.66,R2
44,b,12:44,0.13,R2
45,a,11:39,0.46,R1
45,d,12:07,0.92,R2
45,b,13:03,0.1,R2
46,a,09:06,0.25,R1
46,c,09:21,0.67,R1
46,b,10:02,0.18,R2
47,a,12:12,0.08,R1
47,d,12:17,0.73,R2
47,b,13:01,0.21,R2
48,a,12:57,0.38,R1
48,d,13:20,0.62,R2
48,b,13:58,0.34,R2
49,a,11:52,0.35,R1
49,d,12:14,0.69,R2
49,b,12:55,0.37,R2
50,a,12:45,0.02,R1
50,d,12:46,0.94,R2
50,b,13:43,0.06,R2
51,a,11:55,0.14,R1
51,d,12:04,0.92,R1
51,b,12:59,0.16,R2
52,a,11:46,0.33,R1
52,d,12:06,0.76,R2
52,b,12:52,0.37,R2
53,a,09:22,0.1,R1
53,c,09:28,0.98,R1
53,b,10:27,0.31,R2
54,a,12:07,0.09,R1
54,d,12:12,0.59,R2
54,b,12:48,0.45,R2
55,a,12:07,0.12,R1
55,d,12:14,0.55,R1
55,b,12:48,0.41,R2
56,a,09:18,0.04,R1
56,c,09:20,0.79,R1
56,b,10:08,0.37,R2
57,a,12:03,0.12,R1
57,d,12:11,0.63,R2
57,b,12:49,0.06,R2
58,a,11:45,0.26,R1
58,d,12:01,0.91,R2
58,b,12:56,0.21,R2
59,a,11:51,0.37,R1
59,d,12:13,0.79,R2
59,b,13:00,0.24,R2
60,a,11:57,0.14,R1
60,d,12:06,0.74,R2
60,b,12:51,0.16,R2
61,a,12:12,0.11,R1
61,d,12:19,0.56,R2
61,b,12:53,0.24,R2
62,a,08:39,0.36,R1
62,c,09:01,0.68,R1
62,b,09:42,0.32,R2
63,a,08:58,0.23,R1
63,c,09:11,0.98,R1
63,b,10:11,0.3,R2
64,a,11:47,0.22,R1
64,d,12:01,0.6,R2
64,b,12:37,0.31,R2
65,a,11:59,0.45,R1
65,d,12:26,0.55,R2
65,b,13:00,0.37,R2
66,a,12:26,0.26,R1
66,d,12:42,0.74,R2
66,b,13:26,0.24,R2
67,a,09:48,0.22,R1
67,c,10:01,0.99,R1
67,b,11:01,0.18,R2
68,a,12:03,0.4,R1
68,d,12:27,0.86,R1
68,b,13:19,0.02,R2
69,a,09:13,0.07,R1
69,c,09:17,0.84,R1
69,b,10:08,0.16,R2
70,a,08:32,0.48,R1
70,c,09:01,0.85,R2
70,b,09:53,0.41,R2
71,a,08:58,0.15,R1
71,c,09:07,0.8,R1
71,b,09:55,0.03,R2
72,a,09:23,0.1,R1
72,c,09:29,0.62,R1
72,b,10:07,0.39,R2
73,a,09:12,0.16,R1
73,c,09:21,0.66,R1
73,b,10:02,0.2,R2
74,a,13:10,0.41,R1
74,d,13:35,0.57,R2
74,b,14:09,0.48,R2
75,a,08:56,0.49,R1
75,c,09:25,0.96,R1
75,b,10:23,0.18,R2
76,a,11:57,0.35,R1
76,d,12:19,0.59,R2
76,b,12:55,0.19,R2
77,a,12:36,0.22,R1
77,d,12:49,0.85,R2
77,b,13:41,0.48,R2
78,a,08:47,0.29,R1
78,c,09:05,0.95,R1
78,b,10:02,0.11,R2
79,a,12:01,0.17,R1
79,d,12:11,0.76,R2
79,b,12:57,0.04,R2
